stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
008383,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,145.0,1783,551.8945458700932,50
008382,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,-10.0,1783,551.8945458700932,50
008222,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,174.0,1783,551.8945458700932,50
008165,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008164,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008031,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
096989,"Fehér út, MOL-töltőállomás",47.504556,19.136936,,,F02762,,,1783,551.8945458700932,50
008029,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
LM2OVC,Örs vezér tere [C],47.504556,19.136936,LM2OVC,2.0,F02762,2.0,,1783,551.8945458700932,50
008030,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
LM2OVD,Örs vezér tere [D],47.504556,19.136936,LM2OVD,2.0,F02762,1.0,,1783,551.8945458700932,50
LM2OVE,Örs vezér tere [E],47.504556,19.136936,LM2OVE,2.0,F02762,2.0,,1783,551.8945458700932,50
008020,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008942,Örs vezér tere M+H (Kerepesi út),47.504556,19.136936,,,F02762,1.0,81.0,1783,551.8945458700932,50
003106,"Örs vezér tere M+H, északi tároló",47.504556,19.136936,,,F02762,,,1783,551.8945458700932,50
008023,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008018,"Örs vezér tere M+H, új tárolótér",47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
008025,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008026,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008028,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
008024,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
F01770,Gyakorló köz,47.501683,19.142684,,,F01770,2.0,81.0,1786,85.0339970996936,2
F01769,Gyakorló köz,47.501683,19.142684,,,F01770,2.0,-96.0,1786,85.0339970996936,2
F01772,Sarkantyú utca,47.503968,19.142178,,,F01772,1.0,-93.0,1787,86.31595736345504,2
F01771,Gyakorló köz,47.503968,19.142178,,,F01772,1.0,78.0,1787,86.31595736345504,2
F01850,Gépmadár utca,47.502309,19.147517,,,F01850,2.0,-96.0,1788,21.301818159354937,2
F01851,Gépmadár utca,47.502309,19.147517,,,F01850,2.0,81.0,1788,21.301818159354937,2
F01855,Gépmadár park,47.504233,19.146983,,,F01855,1.0,80.0,1789,61.32995567549541,2
F01854,Gépmadár park,47.504233,19.146983,,,F01855,1.0,-97.0,1789,61.32995567549541,2
F02769,Ond vezér park,47.506501,19.147193,,,F02769,2.0,-101.0,1790,135.5930087871474,3
F02770,Ond vezér park,47.506501,19.147193,,,F02769,1.0,83.0,1790,135.5930087871474,3
F02769,Ond vezér park,47.506501,19.147193,,,F02769,2.0,-92.0,1790,135.5930087871474,3
F02772,Ond vezér útja / Szentmihályi út,47.50746,19.150188,,,F02772,1.0,146.0,1791,12.200552312927446,2
F02771,Ond vezér útja / Szentmihályi út,47.50746,19.150188,,,F02772,1.0,-24.0,1791,12.200552312927446,2
F02773,Vezér utca,47.509822,19.143197,,,F02773,1.0,-36.0,1793,119.24441718052346,4
F02774,Füredi utca,47.509822,19.143197,,,F02773,1.0,131.0,1793,119.24441718052346,4
084824,Vezér utca,47.509822,19.143197,,,F02773,1.0,-136.0,1793,119.24441718052346,4
109484,Vezér utca,47.509822,19.143197,,,F02773,1.0,46.0,1793,119.24441718052346,4
F02766,Álmos vezér útja,47.507108,19.140723,,,F02766,1.0,43.0,1794,27.735456860462158,2
F02765,Álmos vezér útja,47.507108,19.140723,,,F02766,1.0,-135.0,1794,27.735456860462158,2
F02767,Füredi utca / Ond vezér útja,47.506343,19.141213,,,F02767,1.0,-74.0,1795,70.99024563136298,2
F02768,Füredi utca / Ond vezér útja,47.506343,19.141213,,,F02767,1.0,71.0,1795,70.99024563136298,2
F03364,Szent Korona utca,47.520603,19.158559,,,F03364,1.0,-32.0,1800,34.484827331285004,2
F03363,Szent Korona utca,47.520603,19.158559,,,F03364,2.0,143.0,1800,34.484827331285004,2
F03269,Rákosi út,47.518406,19.160612,,,F03269,2.0,146.0,1801,73.38214844006933,4
F03268,Batthyány utca,47.518406,19.160612,,,F03269,2.0,56.0,1801,73.38214844006933,4
F03267,Rákosi út,47.518406,19.160612,,,F03269,2.0,-34.0,1801,73.38214844006933,4
F03266,Batthyány utca,47.518406,19.160612,,,F03269,2.0,-125.0,1801,73.38214844006933,4
F03371,Szent Korona utcai lakótelep,47.518791,19.153204,,,F03371,1.0,-34.0,1804,76.01664209496192,2
F03372,Szent Korona utcai lakótelep,47.518791,19.153204,,,F03371,1.0,146.0,1804,76.01664209496192,2
