stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
F03349,Baross utca,47.5335,19.168879,673,673.0,1.9214576985413477e-05,0.000983767830791933,0.05532273865244367,0.0003564195350815777
F03350,Baross utca,47.532939,19.1696,673,673.0,1.9214576985413477e-05,0.000983767830791933,0.05532273865244367,0.0003564195350815777
F03351,Szilas-patak,47.530095,19.187017,684,684.0,1.4564765821519216e-05,0.0014756517461878996,0.05198956628477905,0.008287023543956329
F03352,Ida utca,47.526315,19.182014,689,689.0,7.47878913330683e-05,0.001967535661583866,0.05460796690751833,0.000960606560999376
F03353,Ida utca,47.526017,19.182451,689,689.0,7.47878913330683e-05,0.001967535661583866,0.05460796690751833,0.000960606560999376
F03354,Sasvár utca,47.518122,19.181077,64,64.0,2.4862459343831918e-06,0.000983767830791933,0.04688112533148853,0.0019665673861598582
F03355,Sasvár utca,47.51429,19.173527,56,56.0,0.0032592632829000563,0.000983767830791933,0.06028526524923643,0.000262249726222579
F03356,Sasvár utca,47.514543,19.173036,56,56.0,0.0032592632829000563,0.000983767830791933,0.06028526524923643,0.000262249726222579
F03357,Szent Korona utca,47.526079,19.169273,680,680.0,0.00018200131642768472,0.000983767830791933,0.058223787839734226,0.001215272510029656
F03358,Diófa utca,47.525109,19.17607,688,688.0,0.0001243593922192376,0.0014756517461878996,0.05759043653154301,0.006295990963708737
F03359,Szent Korona utca,47.523824,19.16452,676,676.0,0.0007897757574445775,0.000983767830791933,0.06097231802777195,0.00024743403389919355
F03360,Szent Korona utca,47.523509,19.164984,676,676.0,0.0007897757574445775,0.000983767830791933,0.06097231802777195,0.00024743403389919355
F03361,Baross utca,47.526651,19.15472,691,691.0,0.0018528346291126698,0.000983767830791933,0.0645601778342331,0.0015768331135830507
F03362,Baross utca,47.526273,19.155264,691,691.0,0.0018528346291126698,0.000983767830791933,0.0645601778342331,0.0015768331135830507
F03363,Szent Korona utca,47.520306,19.158691,698,698.0,0.003413362328061299,0.000983767830791933,0.06416892872924689,0.00021998147731674533
F03364,Szent Korona utca,47.520603,19.158559,698,698.0,0.003413362328061299,0.000983767830791933,0.06416892872924689,0.00021998147731674533
F03365,Őrmester utca,47.511995,19.167383,58,58.0,0.004200501367166602,0.000983767830791933,0.06362270764223571,8.737705899158083e-05
F03366,Sasvár utca,47.512067,19.167476,58,58.0,0.004200501367166602,0.000983767830791933,0.06362270764223571,8.737705899158083e-05
F03367,Sashalmi tér,47.509591,19.170457,53,53.0,0.019271928014487266,0.000983767830791933,0.067611160996375,0.0010008831468283966
F03368,Sashalmi tér,47.50969,19.170165,53,53.0,0.019271928014487266,0.000983767830791933,0.067611160996375,0.0010008831468283966
F03369,Baross utca,47.524101,19.150359,693,693.0,0.008014605421823386,0.0014756517461878996,0.06821003187384667,0.006223530892515548
F03370,Baross utca,47.524515,19.149789,693,693.0,0.008014605421823386,0.0014756517461878996,0.06821003187384667,0.006223530892515548
F03371,Szent Korona utcai lakótelep,47.518791,19.153204,702,702.0,0.009145208599415283,0.000983767830791933,0.06744294055201698,2.6381662941419097e-05
F03372,Szent Korona utcai lakótelep,47.518179,19.153654,702,702.0,0.009145208599415283,0.000983767830791933,0.06744294055201698,2.6381662941419097e-05
F03373,Szabadságtelep H,47.535325,19.204853,5,5.0,6.481572884384475e-09,0.000983767830791933,0.04173338260048446,0.000983767830791933
F03374,Mazsola utca,47.535424,19.198027,11,11.0,1.6183314384244275e-07,0.000983767830791933,0.04552579720530276,0.0029483986661037755
F03375,Rozsos utca,47.53399,19.194119,9,9.0,8.080018496892815e-07,0.000983767830791933,0.04768942059582454,0.003929261670623685
F03376,Muzsika utca,47.532061,19.204538,13,13.0,1.5381567478132282e-07,0.0004918839153959665,0.04535314326506938,0.0
F03377,Felsőmalom utca,47.526356,19.201305,3,3.0,1.3450204856014278e-06,0.000983767830791933,0.04782291642163205,0.0009105016381670014
F03378,Felsőmalom utca,47.525968,19.201941,3,3.0,1.3450204856014278e-06,0.000983767830791933,0.04782291642163205,0.0009105016381670014
F03379,Cinkota H,47.51937,19.217473,17,17.0,0.00035282607154127235,0.002951303492375799,0.0545625335480408,0.017177532247673964
F03380,Cinkota H,47.518939,19.216914,17,17.0,0.00035282607154127235,0.002951303492375799,0.0545625335480408,0.017177532247673964
F03382,Papír utca,47.510508,19.21305,32,32.0,3.652483375697578e-05,0.000983767830791933,0.05140198730752699,0.0011462364572915203
F03383,Papír utca,47.510328,19.212917,32,32.0,3.652483375697578e-05,0.000983767830791933,0.05140198730752699,0.0011462364572915203
F03384,Farkashalom utca,47.511951,19.21652,31,31.0,7.936538706871532e-06,0.000983767830791933,0.0491015360834702,0.0002439274995540057
F03385,Farkashalom utca,47.512023,19.216334,31,31.0,7.936538706871532e-06,0.000983767830791933,0.0491015360834702,0.0002439274995540057
F03386,Cinke utca,47.51725,19.222881,20,20.0,1.6420635673322765e-05,0.000983767830791933,0.04950326288107529,0.0008402733681219664
F03387,Cinke utca,47.516745,19.222655,20,20.0,1.6420635673322765e-05,0.000983767830791933,0.04950326288107529,0.0008402733681219664
F03388,Jókai Mór utca (Újszász utca),47.504902,19.194795,41,41.0,0.013431711209427231,0.001967535661583866,0.06353125,0.0077901104741146384
F03389,Jókai Mór utca,47.504984,19.194371,41,41.0,0.013431711209427231,0.001967535661583866,0.06353125,0.0077901104741146384
F03390,Alsómalom utca,47.524957,19.204501,2,2.0,2.990503290020458e-06,0.000983767830791933,0.047734209908429207,0.0008813652622371558
F03391,Alsómalom utca,47.524579,19.205111,2,2.0,2.990503290020458e-06,0.000983767830791933,0.047734209908429207,0.0008813652622371558
F03392,Jókai Mór utca (Rendőrség),47.510773,19.189515,44,44.0,0.051294011823180045,0.002951303492375799,0.06774634276383752,0.01947813034576167
F03393,Jókai Mór utca (Rendőrség),47.510906,19.191015,44,44.0,0.051294011823180045,0.002951303492375799,0.06774634276383752,0.01947813034576167
