stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1310119,2.25,0.6929,19,0.428,5.653,10.806,1,1,4,1,79,1,18,11,12,128,0,0,2,0,40,1,3,5,1,52,1.96,0.29,1.079475896748889e-06,0.0017152658662092,0.060345005740119,0.001712321203778,27,60.16521,24.85843,Koivusaarentie,0.299615,0.309796,49429.0,45155.0
1310120,2.964,0.7323,27,0.637,5.675,10.828,8,3,8,2,101,3,36,12,16,189,0,0,2,0,41,1,3,5,1,53,2.049,0.915,1.079475896748889e-06,0.0017152658662092,0.060345005740119,0.001712321203778,27,60.16492,24.85843,Koivusaarentie,0.300744,0.305788,48958.0,46488.0
1310121,2.342,0.6949,23,0.519,5.481,10.622,1,1,4,1,83,1,18,11,12,132,0,0,1,0,25,0,1,4,1,32,1.416,0.9260000000000002,1.903579805817733e-07,0.0008576329331046,0.0569079499746183,0.0,29,60.16819,24.85737,Katajaharju,0.289402,0.308586,53692.0,45508.0
1303100,2.145,0.8751,19,0.947,5.082,10.069,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,2,3,0,25,1.384,0.7610000000000001,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.180423,24.850458,Lehtisaarentie,0.2309,0.267669,78110.0,62264.0
1303102,2.145,0.8751,19,0.947,5.141,10.123,4,1,4,1,37,2,16,10,4,79,2,0,1,0,15,0,2,2,0,22,1.298,0.847,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.1804,24.8493,Lehtisaarentie,0.2309,0.267669,78110.0,62264.0
1303103,2.145,0.8751,19,0.947,5.087,10.139,4,1,4,1,37,2,16,10,4,79,2,0,1,0,16,0,1,2,0,22,1.183,0.962,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.177205,24.853608,Kalkkipaadenpuisto,0.231682,0.267669,77783.0,62264.0
1303104,2.145,0.8751,19,0.947,5.103,10.154,4,1,4,1,37,2,16,10,4,79,2,0,1,0,16,0,1,2,0,22,1.201,0.944,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.177125,24.853385,Kalkkipaadenpuisto,0.232399,0.267669,77484.0,62264.0
1303105,2.145,0.8751,19,0.947,5.057,10.086,4,1,4,1,37,2,16,10,4,79,2,0,1,0,18,0,1,2,0,24,1.277,0.8680000000000001,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.17854,24.8528,Hiidenkiukaantie,0.230953,0.267669,78088.0,62264.0
1303107,2.145,0.8751,19,0.947,5.031,10.037,4,1,4,1,37,2,16,10,4,79,2,0,1,0,15,0,1,2,0,21,1.251,0.8940000000000001,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.179735,24.85213,Hiidenkiukaantie,0.2309,0.267669,78110.0,62264.0
1303108,2.145,0.8751,19,0.947,5.089,10.101,4,1,4,1,37,2,16,10,4,79,2,0,1,0,14,0,1,2,0,20,1.197,0.948,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.179217,24.851467,Hiidenkiukaantie,0.2309,0.267669,78110.0,62264.0
1303112,2.145,0.8751,19,0.947,5.049,10.033,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,3,3,0,26,1.44,0.7050000000000001,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.1807,24.85085,Papinpöydänkuja,0.2309,0.267669,78110.0,62264.0
1303113,2.145,0.8751,19,0.947,5.06,10.043,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,3,3,0,26,1.482,0.663,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.1807,24.85064,Papinpöydänkuja,0.2309,0.267669,78110.0,62264.0
1303114,3.784,0.7477,38,1.494,5.074,10.036,10,3,10,3,62,7,45,19,19,178,2,0,1,0,20,0,7,5,0,35,1.625,2.159,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.18153,24.849633,Lehtisaarentie,0.2309,0.291159,78110.0,50696.0
1302219,4.157,0.5463,41,1.296,4.434,9.38,10,4,11,4,70,8,59,20,27,213,2,0,1,0,18,0,1,2,0,24,1.341,2.816,0.0002405283496815,0.0017152658662092,0.0658694762503107,0.0025374156170172,31,60.18488,24.85935,Kuusisaarenkuja,0.232348,0.305853,77492.0,44125.0
