stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
1079,4.532,0.6811,51,1.677,3.962,2.272,2,78,59,1,106,25,116,50,90,4,64,58,1,73,17,93,48,79,3.539,0.993,2779,Avenida De Daroca - Mateo García,40.42941,-3.65307,1988,8.980853201490606e-06,0.0014570179698882,0.0768685134025237,0.0010454789319984,32.203543,32.292391,33317.0,34734.0
1080,5.31,0.5642,68,1.117,4.194,2.726,2,78,53,1,117,22,93,53,74,2,60,42,1,78,19,67,43,56,3.829,1.4809999999999994,2780,Avenida De Daroca - Santa Prisca,40.42751,-3.64795,2001,1.4092752637056485e-06,0.0024283632831471,0.0767481735500223,0.0053789053618248,31.971704,31.916943,31555.0,33309.0
1081,5.478,0.5477,69,1.211,4.199,2.705,3,90,70,2,113,27,135,63,108,2,60,40,1,77,18,67,41,56,3.746,1.7319999999999998,2781,Avenida De Daroca - Santa Prisca,40.4277,-3.64804,2001,1.4092752637056485e-06,0.0024283632831471,0.0767481735500223,0.0053789053618248,31.978253,32.550534,31569.0,35216.0
1082,3.609,0.8478,45,0.639,4.33,3.029,1,53,38,1,83,14,56,30,50,1,51,31,1,60,16,37,33,31,3.538,0.0710000000000001,2782,Cementerio La Almudena,40.42599,-3.64491,1975,3.3208358333190665e-07,0.0009713453132588,0.0716847125996588,0.0004302750924635,31.803626,31.530102,31183.0,32534.0
1083,4.808,0.6358,57,1.718,4.338,2.989,2,79,59,1,109,25,120,51,90,1,57,32,1,65,20,44,37,36,3.675,1.133,2783,Cementerio La Almudena,40.42637,-3.64508,1975,3.3208358333190665e-07,0.0009713453132588,0.0716847125996588,0.0004302750924635,31.810374,32.235081,31168.0,34789.0
1084,4.116,0.8232,57,0.97,4.683,3.641,2,52,35,2,100,15,55,40,45,0,27,12,1,68,11,11,23,12,3.491,0.6249999999999996,2784,Largo Caballero - Avenida Daroca,40.42315,-3.63854,1993,5.358831647649954e-07,0.0019426906265177,0.0717746714539687,0.0019082240641764,30.690053,31.027509,31664.0,32461.0
1085,4.566,0.7934,56,1.277,4.596,3.503,3,66,49,2,112,21,83,45,65,0,29,14,1,61,13,13,22,13,3.465,1.101,2785,Avenida De Daroca - Arriaga,40.42377,-3.63999,1993,5.358831647649954e-07,0.0019426906265177,0.0717746714539687,0.0019082240641764,31.097793,31.649743,31404.0,33033.0
1086,3.871,0.8155,50,0.995,4.769,3.689,2,55,39,2,98,15,57,32,51,0,27,13,1,70,12,14,24,12,3.392,0.4790000000000001,2786,Largo Caballero - Avenida Daroca,40.42337,-3.63756,1993,5.358831647649954e-07,0.0019426906265177,0.0717746714539687,0.0019082240641764,30.663925,31.459212,31057.0,32359.0
1087,3.829,0.1342,51,1.08,6.589,5.198,2,32,20,2,99,12,44,49,27,2,26,16,1,82,11,27,39,20,3.222,0.6070000000000002,2787,Arcos De Jalón - Albericia,40.42484,-3.61547,1057,4.16840182494896e-05,0.0014570179698882,0.084949253238716,0.0006954382487721,28.965854,29.108386,32059.0,32814.0
1088,5.054,0.3839,78,0.939,6.686,4.397,2,40,24,2,95,18,77,46,46,2,24,15,1,56,9,55,27,13,3.516,1.5380000000000005,2788,San Romualdo - Cronos,40.43604,-3.62042,1020,0.0007023374976851,0.0024283632831471,0.0853365384615384,0.0039291361797332,30.224486,30.953287,31383.0,34296.0
