,stop_id,walk15_gini,multimodal_gini,income_walk,income_multimodal
1597,2618,28.432962,28.35475,35780.0,38100.0
1598,2619,28.135928,28.909374,37626.0,38037.0
1599,262,29.857978,30.898904,31126.0,30961.0
1600,2620,28.215918,28.068248,36767.0,38416.0
1601,2621,28.466549,28.08464,35638.0,38385.0
1602,2622,28.012069,29.719514,39324.0,38462.0
1603,2623,28.025403,28.452172,39023.0,37473.0
1604,2626,31.809247,32.263428,32977.0,33862.0
1605,2627,31.722178,32.703979,33237.0,32609.0
1606,2628,31.417495,31.625022,34336.0,34477.0
1607,2629,31.439492,32.499301,34203.0,33600.0
1608,263,29.817454,30.153805,30996.0,31873.0
1609,2630,31.205654,31.864778,36126.0,33854.0
1610,2631,31.251404,32.17146,36018.0,33470.0
1611,2632,31.304906,31.683988,35391.0,33600.0
1612,2633,31.349155,31.764375,35662.0,33936.0
1613,2635,31.296409,31.764375,35126.0,33936.0
1614,2636,31.596537,32.437709,33077.0,30825.0
1615,2637,32.123185,31.772175,32451.0,32625.0
1616,2638,32.352654,31.751762,32313.0,33053.0
1617,264,30.065267,29.755626,30495.0,29282.0
1618,2640,31.854705,30.965418,33043.0,32751.0
1619,2641,32.224954,31.744178,32420.0,33067.0
1620,2642,32.200125,31.105912,32642.0,33009.0
1621,2643,32.173729,31.744178,31333.0,33067.0
1622,2644,31.493018,32.705062,33066.0,31616.0
1623,2645,31.390968,32.595727,33039.0,32210.0
1624,2646,29.157334,29.817589,35791.0,33932.0
1625,2647,34.991207,35.011876,40501.0,43809.0
1626,265,29.909198,30.060206,29480.0,29728.0
1627,2651,35.084182,35.284388,42955.0,43075.0
1628,2653,33.052357,32.462405,47402.0,44366.0
1629,2654,32.941165,33.502422,45453.0,42727.0
1630,2655,32.37793,33.870207,45175.0,44096.0
1631,2656,32.000916,33.861263,42432.0,44079.0
1632,2657,31.916336,34.204147,41917.0,45589.0
1633,2658,32.957887,34.888937,45679.0,45492.0
1634,2659,33.627084,35.600537,49072.0,48927.0
1635,266,37.054957,36.000173,71259.0,56018.0
1636,2660,35.095147,35.041304,51288.0,48989.0
1637,2661,36.118104,35.316523,51539.0,47288.0
1638,2662,32.026219,32.252696,35511.0,39939.0
1639,2663,32.12207,32.765892,33844.0,41504.0
1640,2664,32.251769,32.045415,33136.0,42954.0
1641,2666,32.351955,31.811239,32009.0,40682.0
1642,2667,32.278855,32.879065,32574.0,40766.0
1643,2668,32.265931,31.352567,33028.0,41689.0
1644,2669,32.224924,32.894785,33476.0,40727.0
1645,2670,32.297538,32.144827,33930.0,35120.0
1646,2671,32.216393,32.623046,33528.0,40770.0
1647,2672,32.442484,32.048464,36206.0,33636.0
1648,2673,32.466412,32.110959,36260.0,39500.0
1649,2674,32.691525,32.269892,37277.0,35415.0
1650,2675,32.540718,32.110959,36905.0,39500.0
1651,2676,32.707224,32.519921,37784.0,36692.0
1652,2677,32.683699,32.027431,37932.0,36250.0
1653,2678,32.511173,32.531083,39090.0,36510.0
1654,2679,32.457975,32.265394,39460.0,36296.0
1655,268,35.484928,37.096125,55240.0,59098.0
1656,2680,32.458338,32.531083,39518.0,36510.0
1657,2681,32.438331,32.316741,40250.0,35684.0
1658,2682,32.407728,32.517071,43273.0,35660.0
1659,2683,32.395779,32.576559,42991.0,34442.0
1660,2684,32.306967,32.550921,46740.0,36621.0
